service_id,date,exception_type
Prac.dny_0,20240508,2
Prac.dny_0,20240701,2
Prac.dny_0,20240702,2
Prac.dny_0,20240703,2
Prac.dny_0,20240704,2
Prac.dny_0,20240705,2
Prac.dny_0,20240708,2
Prac.dny_0,20240709,2
Prac.dny_0,20240710,2
Prac.dny_0,20240711,2
Prac.dny_0,20240712,2
Prac.dny_0,20240715,2
Prac.dny_0,20240716,2
Prac.dny_0,20240717,2
Prac.dny_0,20240718,2
Prac.dny_0,20240719,2
Prac.dny_0,20240722,2
Prac.dny_0,20240723,2
Prac.dny_0,20240724,2
Prac.dny_0,20240725,2
Prac.dny_0,20240726,2
Prac.dny_0,20240729,2
Prac.dny_0,20240730,2
Prac.dny_0,20240731,2
Prac.dny_0,20240801,2
Prac.dny_0,20240802,2
Prac.dny_0,20240805,2
Prac.dny_0,20240806,2
Prac.dny_0,20240807,2
Prac.dny_0,20240808,2
Prac.dny_0,20240809,2
Prac.dny_0,20240812,2
Prac.dny_0,20240813,2
Prac.dny_0,20240814,2
Prac.dny_0,20240815,2
Prac.dny_0,20240816,2
Prac.dny_0,20240819,2
Prac.dny_0,20240820,2
Prac.dny_0,20240821,2
Prac.dny_0,20240822,2
Prac.dny_0,20240823,2
Prac.dny_0,20240826,2
Prac.dny_0,20240827,2
Prac.dny_0,20240828,2
Prac.dny_0,20240829,2
Prac.dny_0,20240830,2
Prac.dny_0,20241101,2
Prac.dny_0,20241224,2
Prac.dny_0,20241225,2
Prac.dny_0,20241226,2
Leto_1,20240506,2
Leto_1,20240507,2
Leto_1,20240508,2
Leto_1,20240509,2
Leto_1,20240510,2
Leto_1,20240513,2
Leto_1,20240514,2
Leto_1,20240515,2
Leto_1,20240516,2
Leto_1,20240517,2
Leto_1,20240520,2
Leto_1,20240521,2
Leto_1,20240522,2
Leto_1,20240523,2
Leto_1,20240524,2
Leto_1,20240527,2
Leto_1,20240528,2
Leto_1,20240529,2
Leto_1,20240530,2
Leto_1,20240531,2
Leto_1,20240603,2
Leto_1,20240604,2
Leto_1,20240605,2
Leto_1,20240606,2
Leto_1,20240607,2
Leto_1,20240610,2
Leto_1,20240611,2
Leto_1,20240612,2
Leto_1,20240613,2
Leto_1,20240614,2
Leto_1,20240617,2
Leto_1,20240618,2
Leto_1,20240619,2
Leto_1,20240620,2
Leto_1,20240621,2
Leto_1,20240624,2
Leto_1,20240625,2
Leto_1,20240626,2
Leto_1,20240627,2
Leto_1,20240628,2
Leto_1,20240705,2
Leto_1,20240829,2
Leto_1,20240902,2
Leto_1,20240903,2
Leto_1,20240904,2
Leto_1,20240905,2
Leto_1,20240906,2
Leto_1,20240909,2
Leto_1,20240910,2
Leto_1,20240911,2
Leto_1,20240912,2
Leto_1,20240913,2
Leto_1,20240916,2
Leto_1,20240917,2
Leto_1,20240918,2
Leto_1,20240919,2
Leto_1,20240920,2
Leto_1,20240923,2
Leto_1,20240924,2
Leto_1,20240925,2
Leto_1,20240926,2
Leto_1,20240927,2
Leto_1,20240930,2
Leto_1,20241001,2
Leto_1,20241002,2
Leto_1,20241003,2
Leto_1,20241004,2
Leto_1,20241007,2
Leto_1,20241008,2
Leto_1,20241009,2
Leto_1,20241010,2
Leto_1,20241011,2
Leto_1,20241014,2
Leto_1,20241015,2
Leto_1,20241016,2
Leto_1,20241017,2
Leto_1,20241018,2
Leto_1,20241021,2
Leto_1,20241022,2
Leto_1,20241023,2
Leto_1,20241024,2
Leto_1,20241025,2
Leto_1,20241028,2
Leto_1,20241029,2
Leto_1,20241030,2
Leto_1,20241031,2
Leto_1,20241101,2
Leto_1,20241104,2
Leto_1,20241105,2
Leto_1,20241106,2
Leto_1,20241107,2
Leto_1,20241108,2
Leto_1,20241111,2
Leto_1,20241112,2
Leto_1,20241113,2
Leto_1,20241114,2
Leto_1,20241115,2
Leto_1,20241118,2
Leto_1,20241119,2
Leto_1,20241120,2
Leto_1,20241121,2
Leto_1,20241122,2
Leto_1,20241125,2
Leto_1,20241126,2
Leto_1,20241127,2
Leto_1,20241128,2
Leto_1,20241129,2
Leto_1,20241202,2
Leto_1,20241203,2
Leto_1,20241204,2
Leto_1,20241205,2
Leto_1,20241206,2
Leto_1,20241209,2
Leto_1,20241210,2
Leto_1,20241211,2
Leto_1,20241212,2
Leto_1,20241213,2
Leto_1,20241216,2
Leto_1,20241217,2
Leto_1,20241218,2
Leto_1,20241219,2
Leto_1,20241220,2
Leto_1,20241223,2
Leto_1,20241224,2
Leto_1,20241225,2
Leto_1,20241226,2
Leto_1,20241227,2
Leto_1,20241230,2
Leto_1,20241231,2
Nedela+sv_3,20240508,1
Nedela+sv_3,20240705,1
Nedela+sv_3,20240829,1
Nedela+sv_3,20241101,1
Nedela+sv_3,20241224,1
Nedela+sv_3,20241225,1
Nedela+sv_3,20241226,1
Prac.dny_4,20240508,2
Prac.dny_4,20240701,2
Prac.dny_4,20240702,2
